2009-07-01	20
2009-07-02	27
2009-07-03	17
2009-07-04	13
2009-07-05	6
2009-07-06	16
2009-07-07	14
2009-07-08	24
2009-07-09	16
2009-07-10	14
2009-07-11	4
2009-07-12	9
2009-07-13	5
2009-07-14	19
2009-07-15	15
2009-07-16	13
2009-07-17	14
2009-07-18	14
2009-07-19	4
2009-07-20	21
2009-07-21	24
2009-07-22	33
2009-07-23	29
2009-07-24	10
2009-07-25	11
2009-07-26	10
2009-07-27	13
2009-07-28	27
2009-07-29	18
2009-07-30	12
2009-07-31	27
2009-08-01	11
2009-08-02	15
2009-08-03	14
2009-08-04	14
2009-08-05	17
2009-08-06	11
2009-08-07	9
2009-08-08	11
2009-08-09	10
2009-08-10	16
2009-08-11	27
2009-08-12	28
2009-08-13	34
2009-08-14	24
2009-08-15	15
2009-08-16	10
2009-08-17	18
2009-08-18	17
2009-08-19	17
2009-08-20	15
2009-08-21	11
2009-08-22	19
2009-08-23	6
2009-08-24	11
2009-08-25	36
2009-08-26	60
2009-08-27	41
2009-08-28	38
2009-08-29	21
2009-08-30	14
2009-08-31	20
2009-09-01	28
2009-09-02	20
2009-09-03	19
2009-09-04	23
2009-09-05	18
2009-09-06	12
2009-09-07	19
2009-09-08	42
2009-09-09	26
2009-09-10	14
2009-09-11	20
2009-09-12	21
2009-09-13	16
2009-09-14	21
2009-09-15	30
2009-09-16	37
2009-09-17	31
2009-09-18	29
2009-09-19	13
2009-09-20	0
2009-09-21	0
2009-09-22	0
2009-09-23	0
2009-09-24	0
2009-09-25	0
2009-09-26	0
2009-09-27	0
2009-09-28	0
2009-09-29	0
2009-09-30	0
2009-10-01	0
2009-10-02	0
2009-10-03	0
2009-10-04	0
2009-10-05	0
2009-10-06	0
2009-10-07	0
2009-10-08	0
2009-10-09	0
2009-10-10	0
2009-10-11	0
2009-10-12	0
2009-10-13	0
2009-10-14	0
2009-10-15	0
2009-10-16	0
2009-10-17	0
2009-10-18	0
2009-10-19	0
2009-10-20	0
2009-10-21	0
2009-10-22	0
2009-10-23	0
2009-10-24	0
2009-10-25	0
2009-10-26	0
2009-10-27	0
2009-10-28	0
2009-10-29	0
2009-10-30	0
2009-10-31	0
2009-11-01	0
2009-11-02	0
2009-11-03	0
2009-11-04	0
2009-11-05	0
2009-11-06	0
2009-11-07	0
2009-11-08	0
2009-11-09	0
2009-11-10	0
2009-11-11	0
2009-11-12	0
2009-11-13	0
2009-11-14	0
2009-11-15	0
2009-11-16	0
2009-11-17	0
2009-11-18	0
2009-11-19	0
2009-11-20	0
2009-11-21	0
2009-11-22	0
2009-11-23	0
2009-11-24	0
2009-11-25	0
2009-11-26	0
2009-11-27	0
2009-11-28	0
2009-11-29	0
2009-11-30	0
2009-12-01	0
2009-12-02	0
2009-12-03	0
2009-12-04	0
2009-12-05	0
2009-12-06	0
2009-12-07	0
2009-12-08	0
2009-12-09	0
2009-12-10	0
2009-12-11	0
2009-12-12	0
2009-12-13	0
2009-12-14	0
2009-12-15	0
2009-12-16	0
2009-12-17	0
2009-12-18	0
2009-12-19	0
2009-12-20	0
2009-12-21	0
2009-12-22	0
2009-12-23	0
2009-12-24	0
2009-12-25	0
2009-12-26	0
2009-12-27	0
2009-12-28	0
2009-12-29	0
2009-12-30	0
2009-12-31	0
2010-01-01	0
2010-01-02	0
2010-01-03	0
2010-01-04	0
2010-01-05	0
2010-01-06	0
2010-01-07	0
2010-01-08	0
2010-01-09	0
2010-01-10	0
2010-01-11	0
2010-01-12	0
2010-01-13	0
2010-01-14	0
2010-01-15	0
2010-01-16	0
2010-01-17	0
2010-01-18	0
2010-01-19	0
2010-01-20	0
2010-01-21	0
2010-01-22	0
2010-01-23	0
2010-01-24	0
2010-01-25	0
2010-01-26	0
2010-01-27	0
2010-01-28	0
2010-01-29	0
2010-01-30	0
2010-01-31	0
2010-02-01	0
2010-02-02	0
2010-02-03	0
2010-02-04	0
2010-02-05	0
2010-02-06	0
2010-02-07	0
2010-02-08	0
2010-02-09	0
2010-02-10	0
2010-02-11	0
2010-02-12	0
2010-02-13	0
2010-02-14	0
2010-02-15	0
2010-02-16	0
2010-02-17	0
2010-02-18	0
2010-02-19	0
2010-02-20	0
2010-02-21	0
2010-02-22	0
2010-02-23	0
2010-02-24	0
2010-02-25	0
2010-02-26	0
2010-02-27	0
2010-02-28	0
2010-03-01	0
2010-03-02	0
2010-03-03	0
2010-03-04	0
2010-03-05	0
2010-03-06	0
2010-03-07	0
2010-03-08	0
2010-03-09	0
2010-03-10	0
2010-03-11	0
2010-03-12	0
2010-03-13	0
2010-03-14	0
2010-03-15	0
2010-03-16	0
2010-03-17	0
2010-03-18	0
2010-03-19	0
2010-03-20	0
2010-03-21	0
2010-03-22	0
2010-03-23	0
2010-03-24	0
2010-03-25	0
2010-03-26	0
2010-03-27	0
2010-03-28	0
2010-03-29	0
2010-03-30	0
2010-03-31	0
2010-04-01	0
2010-04-02	0
2010-04-03	0
2010-04-04	0
2010-04-05	0
2010-04-06	0
2010-04-07	0
2010-04-08	0
2010-04-09	0
2010-04-10	0
2010-04-11	0
2010-04-12	0
2010-04-13	0
2010-04-14	0
2010-04-15	0
2010-04-16	0
2010-04-17	0
2010-04-18	36
2010-04-19	186
2010-04-20	288
2010-04-21	201
2010-04-22	158
2010-04-23	181
2010-04-24	112
2010-04-25	0
2010-04-26	194
2010-04-27	175
2010-04-28	178
2010-04-29	170
2010-04-30	144
